age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
30,unemployed,married,primary,1787,no,no,79,1,-1,unknown,no
33,services,married,secondary,4789,yes,yes,,1,339,failure,no
,management,single,tertiary,135,yes,no,185,1,330,failure,no
30,management,married,tertiary,1476,yes,yes,199,4,-1,unknown,no
59,blue-collar,married,secondary,,yes,no,226,1,-1,unknown,no
,management,single,tertiary,747,,no,141,2,176,failure,no
36,self-employed,married,tertiary,37,yes,no,341,1,330,other,no
39,technician,married,secondary,147,yes,no,151,2,-1,unknown,no
41,entrepreneur,married,tertiary,221,yes,no,57,2,-1,unknown,no
43,services,married,primary,-88,yes,yes,313,1,147,failure,no
39,services,married,secondary,9374,yes,no,273,1,-1,unknown,no
43,admin.,married,secondary,264,yes,no,113,2,-1,unknown,no
36,technician,married,tertiary,119,no,no,328,2,-1,unknown,no
20,student,single,secondary,52,no,no,261,1,-1,unknown,yes
31,blue-collar,married,secondary,36,yes,yes,89,1,241,failure,no
40,management,married,tertiary,194,no,yes,189,2,-1,unknown,no
56,technician,married,secondary,473,no,no,239,5,-1,unknown,no
37,admin.,,tertiary,2317,yes,no,114,1,152,failure,no
25,blue-collar,single,primary,-221,yes,no,250,1,-1,unknown,no
31,services,married,secondary,132,no,no,148,1,152,other,no
38,management,divorced,unknown,,yes,no,96,2,-1,unknown,no
42,management,divorced,tertiary,16,no,no,140,3,-1,unknown,no
44,services,single,secondary,16,no,no,109,2,-1,unknown,no
44,entrepreneur,married,secondary,93,no,no,,2,-1,unknown,no
26,housemaid,married,tertiary,543,no,no,169,3,-1,unknown,no
41,management,married,tertiary,5883,no,no,182,2,-1,unknown,no
55,blue-collar,married,primary,627,,no,247,1,-1,unknown,no
67,retired,married,unknown,696,no,no,119,1,105,failure,no
56,self-employed,married,secondary,784,no,yes,149,2,-1,unknown,no
,admin.,married,secondary,15,no,yes,74,2,-1,unknown,no
68,retired,divorced,secondary,4189,no,no,897,2,-1,unknown,yes
31,technician,married,secondary,171,no,no,81,3,-1,unknown,no
59,management,married,secondary,42,no,no,40,1,-1,unknown,no
32,management,single,tertiary,2536,yes,no,958,6,-1,unknown,yes
49,technician,married,tertiary,1235,no,no,354,3,-1,unknown,
42,admin.,divorced,secondary,1811,yes,no,150,1,-1,unknown,no
78,retired,divorced,primary,229,no,no,97,1,-1,unknown,yes
32,blue-collar,married,secondary,289,yes,no,132,1,-1,unknown,yes
33,management,married,secondary,3935,yes,no,765,1,342,failure,
23,services,single,tertiary,363,yes,no,16,18,-1,unknown,no
38,management,,tertiary,11971,yes,no,609,2,101,failure,no
36,management,single,tertiary,553,no,no,,2,-1,unknown,no
52,blue-collar,married,secondary,1117,yes,no,365,1,-1,unknown,no
32,technician,married,tertiary,396,yes,no,205,3,-1,unknown,no
32,technician,single,tertiary,224,yes,no,11,4,-1,unknown,no
